source_file,asin,model,verified_purchase,vine_review,title,title_zh,body,body_zh,rating,polarity,helpful_votes,image_count,has_video,link,review_date,topics,persona_tags,persona_evidence,persona__婴幼儿/儿童家庭,persona__敏感肌/干痒/湿疹困扰人群,persona__氯味/泳池味困扰用户,persona__泡澡护理/放松型用户,persona__硬水/矿物残留困扰用户,motivation_tags,motivation_evidence,motivation__改善泡澡后皮肤/头发体感,motivation__安装方便、挂上就能用,motivation__适合宝宝/敏感肌场景,motivation__降低氯味/泳池味,motivation__缓解硬水导致的干涩/刺激感,motivation__高频使用下也要好维护,positive_tags,positive_evidence,positive__改善皮肤/头发感受,positive__安装方便/适配性强,positive__宝宝/敏感肌场景友好,positive__减少氯味/泳池味,positive__水流稳定/不易飞溅,negative_tags,negative_evidence,negative__绕流/溢流/过滤路径失效,negative__宣传口径争议（重金属/TDS等）,negative__安装不稳/固定带打滑,negative__滤芯更换麻烦/寿命不清,negative__掉砂/掉屑/包装脏污,negative__发霉/卫生清洁风险,negative__敏感肌/宝宝场景效果不稳定,negative__去氯效果不明显/气味仍重,negative__硬水改善不明显/肤感无变化,negative__整体无效/不符合预期,negative__质量破损/做工问题,negative__二次销售/疑似退货品,qa__低星未命中投诉点,qa__高星含投诉点,qa__正文为空仅标题可用,qa__硬水标签需复核,qa__低星含正向标签,qa__需要人工复核,qa__复核原因,negative_severity_level,negative_confidence,negative_revision_note,qa__低置信度标题归因,qa__高星轻微吐槽
B008A4AG2U-US-Reviews-260420-449895.xlsx,B008A4AG2U,Color: Chrome|Size: Single Bath Ball,Y,,Clean water,干净的水,Amazing works just as described wow clean refreshing water,神奇的效果，正如描述的那样，哇，干净清爽的水,5.0,positive_4_5,0,0,,https://www.amazon.com/gp/customer-reviews/RVITNINS9SYFS/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B001OXHSHK,2026-04-08,,未命中,{},,,,,,改善泡澡后皮肤/头发体感,"{""改善泡澡后皮肤/头发体感"": [""mazing works just as described wow clean refreshing water""]}",Y,,,,,,未命中,{},,,,,,未命中,{},,,,,,,,,,,,,,,,,,,,none,,,,
B008A4AG2U-US-Reviews-260420-449895.xlsx,B008A4AG2U,Color: White|Size: Single Bath Ball,Y,,High recommended!,强烈推荐！,"This bath filter is a game-changer. It was incredibly easy to install and works exactly as advertised. I immediately noticed a difference in the water—it feels much cleaner and ""softer"" on the skin. If you're dealing with hard water or chlorine smells, I highly recommend this!",这款浴缸过滤器简直是改变游戏规则的存在。安装非常简单，功能完全如宣传的那样。我立刻注意到水质的变化——在皮肤上感觉更干净、更“柔软”。如果你遇到硬水或氯味，我强烈推荐这个！,5.0,positive_4_5,0,0,,https://www.amazon.com/gp/customer-reviews/R1Z99ALTFRI3NN/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B008A4AG2U,2026-04-07,chlorine_smell_reduction;hair_skin_improvement;installation_fit;heavy_metals_tds_overclaim;ease_of_use_positive,氯味/泳池味困扰用户；硬水/矿物残留困扰用户,"{""氯味/泳池味困扰用户"": [""you're dealing with hard water or chlorine smells, I highly recommend this!""], ""硬水/矿物残留困扰用户"": [""If you're dealing with hard water or chlorine smells, I highly recom"", ""skin. If you're dealing with hard water or chlorine smells, I highly recommend this! 强烈推荐！ 这款浴缸过滤器简""]}",,,Y,,Y,安装方便、挂上就能用；降低氯味/泳池味；缓解硬水导致的干涩/刺激感,"{""安装方便、挂上就能用"": [""It was incredibly easy to install and works exactly as advertised.""], ""降低氯味/泳池味"": [""you're dealing with hard water or chlorine smells, I highly recommend this!""], ""缓解硬水导致的干涩/刺激感"": [""If you're dealing with hard water or chlorine smells, I highly recom"", ""skin. If you're dealing with hard water or chlorine smells, I highly recommend this! 强烈推荐！ 这款浴缸过滤器简""]}",,Y,,Y,Y,,安装方便/适配性强,"{""安装方便/适配性强"": [""It was incredibly easy to install and works exactly as advertised."", ""It was incredibly easy to install and works exactly as ad""]}",,Y,,,,未命中,{},,,,,,,,,,,,,,,,,,,,none,,按规则8：softer/harsh/hard water 归入硬水；按规则8：softer/harsh/hard water 归入硬水动机,,
B008A4AG2U-US-Reviews-260420-449895.xlsx,B008A4AG2U,Color: White|Size: Single Bath Ball,Y,,Pool = gone!,泳池=没了！,"Before this filter my kids bathroom smelled like a pool during bath time! It’s made to fit any bath spout. In large part, it’s super easy to use, but we’ve had some trouble opening the ball when needing to replace filters, but it could be the filter doesn’t need replacing often so it gets stuck after being closed for a while.",在有这个过滤器之前，我孩子们洗澡时浴室闻起来像游泳池的味道！它适合任何浴缸出水口。大部分来说，它非常容易使用，但我们需要更换滤网时打球时遇到了一些困难，不过可能是滤网不常更换，所以闭上一段时间后球会卡住。,5.0,positive_4_5,0,1,,https://www.amazon.com/gp/customer-reviews/R1TMWZEGCQXCR0/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B008A4AG2U,2026-04-04,chlorine_smell_reduction;baby_child_sensitive_skin;installation_fit;refill_lifespan;ease_of_use_positive,婴幼儿/儿童家庭；泡澡护理/放松型用户,"{""婴幼儿/儿童家庭"": [""Before this filter my kids bathroom smelled like a pool durin""], ""泡澡护理/放松型用户"": [""athroom smelled like a pool during bath time!""]}",Y,,,Y,,安装方便、挂上就能用；适合宝宝/敏感肌场景；高频使用下也要好维护,"{""安装方便、挂上就能用"": [""It's made to fit any bath spout."", ""In large part, it's super easy to use, but we've had some trouble openin""], ""适合宝宝/敏感肌场景"": [""Before this filter my kids bathroom smelled like a pool durin""], ""高频使用下也要好维护"": [""e opening the ball when needing to replace filters, but it could be the filte""]}",,Y,Y,,,Y,安装方便/适配性强,"{""安装方便/适配性强"": [""It's made to fit any bath spout."", ""In large part, it's super easy to use, but we've had some trouble""]}",,Y,,,,滤芯更换麻烦/寿命不清,"{""滤芯更换麻烦/寿命不清"": [""e opening the ball when needing to replace filters, but it could be the filte"", ""doesn't need replacing often so it gets stuck after being closed for a while.""]}",,,,Y,,,,,,,,,,Y,,,,Y,4-5星但含投诉点；按规则9作为轻微吐槽/混合评价，不计入高杀伤投诉；按规则9保留高星轻微吐槽，但不计入高杀伤投诉,minor_mixed_positive_review,medium,,,Y
B008A4AG2U-US-Reviews-260420-449895.xlsx,B008A4AG2U,Color: Blue|Size: With Extra Cartridge,,,Not so good design😕,,,,1.0,negative_1_2,0,0,,https://www.amazon.com/gp/customer-reviews/R6I51CWYM86ZL/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0D23LZR24,2026-03-31,,未命中,{},,,,,,未命中,{},,,,,,,未命中,{},,,,,,绕流/溢流/过滤路径失效,"{""绕流/溢流/过滤路径失效"": [""Not so good design😕""]}",Y,,,,,,,,,,,,,,Y,,,Y,正文为空，仅标题可用于判断；按规则1使用标题归因，证据置信度低于正文归因,high_kill_low_confidence_title_only,low,按规则2/3：设计/水压/水流失败归入溢流/过滤路径失效；标题归因低置信度,Y,
B008A4AG2U-US-Reviews-260420-449895.xlsx,B008A4AG2U,Color: Blue|Size: With Extra Cartridge,,,Product works but does not meet expectations,,,,1.0,negative_1_2,0,0,,https://www.amazon.com/gp/customer-reviews/R3TZE1PNY2JEY8/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0D23LZR24,2026-03-28,,未命中,{},,,,,,未命中,{},,,,,,,未命中,{},,,,,,整体无效/不符合预期,"{""整体无效/不符合预期"": [""Product works but does not meet expectations""]}",,,,,,,,,,Y,,,,,Y,,,Y,正文为空，仅标题可用于判断；按规则1使用标题归因，证据置信度低于正文归因,high_kill_low_confidence_title_only,low,按规则1/6：低星整体无效/不符合预期；标题归因低置信度,Y,
B008A4AG2U-US-Reviews-260420-449895.xlsx,B008A4AG2U,Color: Blue|Size: With Extra Cartridge,,,"Doesn't work, pretty disappointing purchase",,,,1.0,negative_1_2,0,0,,https://www.amazon.com/gp/customer-reviews/RLZ02BA96VEXN/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0D23LZR24,2026-03-26,effectiveness_doubt,未命中,{},,,,,,未命中,{},,,,,,,未命中,{},,,,,,整体无效/不符合预期,"{""整体无效/不符合预期"": [""Doesn't work, pretty disappointing purchase""]}",,,,,,,,,,Y,,,,,Y,,,Y,正文为空，仅标题可用于判断；按规则1使用标题归因，证据置信度低于正文归因,high_kill_low_confidence_title_only,low,按规则1/6：低星整体无效/不符合预期；标题归因低置信度,Y,
B008A4AG2U-US-Reviews-260420-449895.xlsx,B008A4AG2U,Color: Blue|Size: With Extra Cartridge,,,Works but not worth the cost😕,,,,1.0,negative_1_2,0,0,,https://www.amazon.com/gp/customer-reviews/R3NRZQ065GV3PT/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0D23LZR24,2026-03-18,,未命中,{},,,,,,未命中,{},,,,,,,未命中,{},,,,,,整体无效/不符合预期,"{""整体无效/不符合预期"": [""Works but not worth the cost😕""]}",,,,,,,,,,Y,,,,,Y,,,Y,正文为空，仅标题可用于判断；按规则1使用标题归因，证据置信度低于正文归因,high_kill_low_confidence_title_only,low,按规则1/6：低星整体无效/不符合预期；标题归因低置信度,Y,
B008A4AG2U-US-Reviews-260420-449895.xlsx,B008A4AG2U,Color: White|Size: Single Bath Ball,Y,,Gentle on Kids’ Skin & Super Easy to Install,对儿童皮肤温和，安装非常简单,"As a parent, water quality is something I pay close attention to, and this bath ball filter has been a great addition to our home. Installation was extremely simple there were no tools needed, just attach and go. Since using it, I’ve noticed a real improvement in my kids’ skin, especially less dryness and irritation after bath time. The water feels noticeably softer, and bath time has been more comfortable overall. It’s reassuring to have an extra layer of filtration, and this has absolutely met our expectations. Highly recommend for families with children or anyone dealing with dry, sensitive skin.",作为家长，我非常关注水质，这个浴球过滤器为我们家增添了极好的一笔。安装非常简单，不需要任何工具，只要安装即可。自从用了它后，我注意到孩子们的皮肤明显改善，尤其是洗澡后干燥和刺激感减少了。水感觉明显更软，洗澡时间也更舒适。多一层过滤让我很安心，这完全符合我们的预期。强烈推荐给有孩子的家庭或任何皮肤敏感、干性敏感的人。,5.0,positive_4_5,1,0,,https://www.amazon.com/gp/customer-reviews/RS5RAW5PV43FU/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B008A4AG2U,2026-02-09,hair_skin_improvement;baby_child_sensitive_skin;installation_fit;overflow_flow_splash;ease_of_use_positive,婴幼儿/儿童家庭；敏感肌/干痒/湿疹困扰人群；泡澡护理/放松型用户；硬水/矿物残留困扰用户,"{""婴幼儿/儿童家庭"": [""Gentle on Kids' Skin & Super Easy to Install"", ""e noticed a real improvement in my kids' skin, especially less dryness and"", ""Highly recommend for families with children or anyone dealing with dry, sensit""], ""敏感肌/干痒/湿疹困扰人群"": [""ildren or anyone dealing with dry, sensitive skin.""], ""泡澡护理/放松型用户"": [""less dryness and irritation after bath time."", ""water feels noticeably softer, and bath time has been more comfortable overall.""], ""硬水/矿物残留困扰用户"": [""As a parent, water quality is something I pay close attention"", ""注意到孩子们的皮肤明显改善，尤其是洗澡后干燥和刺激感减少了。水感觉明显更软，洗澡时间也更舒适。多一层过滤让我很安心，这完全符合我们的预期。强烈推荐给有孩子的家庭或任何皮肤敏感、干性敏感的人。""]}",Y,Y,,Y,Y,安装方便、挂上就能用；适合宝宝/敏感肌场景；缓解硬水导致的干涩/刺激感,"{""安装方便、挂上就能用"": [""Gentle on Kids' Skin & Super Easy to Install"", ""e there were no tools needed, just attach and go.""], ""适合宝宝/敏感肌场景"": [""Gentle on Kids' Skin & Super Easy to Install"", ""e noticed a real improvement in my kids' skin, especially less dryness and"", ""ildren or anyone dealing with dry, sensitive skin.""], ""缓解硬水导致的干涩/刺激感"": [""As a parent, water quality is something I pay close attention"", ""注意到孩子们的皮肤明显改善，尤其是洗澡后干燥和刺激感减少了。水感觉明显更软，洗澡时间也更舒适。多一层过滤让我很安心，这完全符合我们的预期。强烈推荐给有孩子的家庭或任何皮肤敏感、干性敏感的人。""]}",,Y,Y,,Y,,安装方便/适配性强；宝宝/敏感肌场景友好,"{""安装方便/适配性强"": [""Gentle on Kids' Skin & Super Easy to Install""], ""宝宝/敏感肌场景友好"": [""Highly recommend for families with children or anyone dealing with dry, sensit"", ""ildren or anyone dealing with dry, sensitive skin.""]}",,Y,Y,,,未命中,{},,,,,,,,,,,,,,,,,,,,none,,按规则8：softer/harsh/hard water 归入硬水；按规则8：softer/harsh/hard water 归入硬水动机,,
B008A4AG2U-US-Reviews-260420-449895.xlsx,B008A4AG2U,Color: White|Size: Single Bath Ball,Y,,Noticeable Difference in Skin,皮肤的明显差异,"We’ve noticed such a big difference since using this bath water filter. My kids tend to have eczema flare-ups, and with how dry winter has been (plus our hard water), their skin was really struggling. This filter has helped so much—their skin feels noticeably softer and less irritated after baths. I love that it helps remove chlorine and other harsh stuff, and it was super easy to install. The fact that it’s portable is a huge bonus too. Such a simple change that’s made a big difference for our family.",自从使用这款沐浴水过滤器以来，我们注意到了如此大的差异。我的孩子们容易出现湿疹，而且由于冬季干燥（再加上我们的水质很硬），他们的皮肤真的很糟糕。这个过滤器帮了很大的忙——沐浴后他们的皮肤感觉明显更柔软，刺激也更少。我喜欢它有助于去除氯和其他刺激性物质，而且安装起来超级简单。事实上，它的便携性也是一个巨大的好处。如此简单的改变却给我们的家庭带来了巨大的改变。,5.0,positive_4_5,1,0,,https://www.amazon.com/gp/customer-reviews/R29F1DUPQFSNG3/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B008A4AG2U,2026-01-24,chlorine_smell_reduction;hair_skin_improvement;baby_child_sensitive_skin;installation_fit;heavy_metals_tds_overclaim;ease_of_use_positive,婴幼儿/儿童家庭；敏感肌/干痒/湿疹困扰人群；氯味/泳池味困扰用户；硬水/矿物残留困扰用户,"{""婴幼儿/儿童家庭"": [""My kids tend to have eczema flare-ups, and""], ""敏感肌/干痒/湿疹困扰人群"": [""My kids tend to have eczema flare-ups, and with how dry winter"", ""My kids tend to have eczema flare-ups, and with how dry winter has been"", ""n feels noticeably softer and less irritated after baths.""], ""氯味/泳池味困扰用户"": [""I love that it helps remove chlorine and other harsh stuff, and it was""], ""硬水/矿物残留困扰用户"": [""how dry winter has been (plus our hard water), their skin was really struggling"", ""dry winter has been (plus our hard water), their skin was really struggling. This filter has helped""]}",Y,Y,Y,,Y,改善泡澡后皮肤/头发体感；安装方便、挂上就能用；适合宝宝/敏感肌场景；降低氯味/泳池味；缓解硬水导致的干涩/刺激感,"{""改善泡澡后皮肤/头发体感"": [""My kids tend to have eczema flare-ups, and with how dry winter"", ""is filter has helped so much—their skin feels noticeably softer and less irritat"", ""r skin feels noticeably softer and less irritated after baths.""], ""安装方便、挂上就能用"": [""ther harsh stuff, and it was super easy to install.""], ""适合宝宝/敏感肌场景"": [""My kids tend to have eczema flare-ups, and"", ""My kids tend to have eczema flare-ups, and with how dry winter""], ""降低氯味/泳池味"": [""I love that it helps remove chlorine and other harsh stuff, and it was""], ""缓解硬水导致的干涩/刺激感"": [""how dry winter has been (plus our hard water), their skin was really struggling"", ""it helps remove chlorine and other harsh stuff, and it was super easy to in"", ""dry winter has been (plus our hard water), their skin was really struggling. This filter has helped""]}",Y,Y,Y,Y,Y,,改善皮肤/头发感受；安装方便/适配性强；减少氯味/泳池味,"{""改善皮肤/头发感受"": [""r skin feels noticeably softer and less irritated after baths."", ""is filter has helped so much—their skin feels noticeably softer and less irritated after baths."", ""Noticeable Difference in Skin We’ve noticed such a big difference since using thi""], ""安装方便/适配性强"": [""ther harsh stuff, and it was super easy to install."", ""and other harsh stuff, and it was super easy to install.""], ""减少氯味/泳池味"": [""I love that it helps remove chlorine and other harsh stuff, and it was""]}",Y,Y,,Y,,未命中,{},,,,,,,,,,,,,,,,,,,,none,,按规则8：softer/harsh/hard water 归入硬水；按规则8：softer/harsh/hard water 归入硬水动机；高星正向敏感肌/宝宝改善语境，移除负面误判；正向肤感改善证据补入,,
B008A4AG2U-US-Reviews-260420-449895.xlsx,B008A4AG2U,Color: White|Size: With Extra Cartridge,Y,,Doesn’t work if water pressure is too strong.,,,,1.0,negative_1_2,3,0,,https://www.amazon.com/gp/customer-reviews/RWJW3ISP8KZEZ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0D23LZR24,2025-12-24,overflow_flow_splash,未命中,{},,,,,,未命中,{},,,,,,,未命中,{},,,,,,绕流/溢流/过滤路径失效；整体无效/不符合预期,"{""绕流/溢流/过滤路径失效"": [""Doesn’t work if water pressure is too strong.""], ""整体无效/不符合预期"": [""Doesn’t work if water pressure is too strong.""]}",Y,,,,,,,,,Y,,,,,Y,,,Y,正文为空，仅标题可用于判断；按规则1使用标题归因，证据置信度低于正文归因,high_kill_low_confidence_title_only,low,按规则2/3：设计/水压/水流失败归入溢流/过滤路径失效；标题归因低置信度；按规则1/6：低星整体无效/不符合预期；标题归因低置信度,Y,
