topic_id,topic_label,review_count,positive_4_5,neutral_3,negative_1_2,asin_count,asins
ease_of_use_positive,易用/方便/推荐,1506,1417,28,61,10,B008A4AG2U;B0742KFY9R;B0CXT5KL5Z;B0D3X39378;B0DTQ8H23D;B0FL24SLM5;B0FT7R9ZQ9;B0G5NZBW6W;B0GFQ1JRSK;B0GKT5CHYL
hair_skin_improvement,皮肤/头发表现改善,1442,1368,16,58,10,B008A4AG2U;B0742KFY9R;B0CXT5KL5Z;B0D3X39378;B0DTQ8H23D;B0FL24SLM5;B0FT7R9ZQ9;B0G5NZBW6W;B0GFQ1JRSK;B0GKT5CHYL
installation_fit,安装/适配/出水口兼容,1366,1197,36,133,10,B008A4AG2U;B0742KFY9R;B0CXT5KL5Z;B0D3X39378;B0DTQ8H23D;B0FL24SLM5;B0FT7R9ZQ9;B0G5NZBW6W;B0GFQ1JRSK;B0GKT5CHYL
baby_child_sensitive_skin,婴幼儿/儿童/敏感肌使用场景,613,563,12,38,10,B008A4AG2U;B0742KFY9R;B0CXT5KL5Z;B0D3X39378;B0DTQ8H23D;B0FL24SLM5;B0FT7R9ZQ9;B0G5NZBW6W;B0GFQ1JRSK;B0GKT5CHYL
chlorine_smell_reduction,氯味/泳池味降低,567,500,12,55,10,B008A4AG2U;B0742KFY9R;B0CXT5KL5Z;B0D3X39378;B0DTQ8H23D;B0FL24SLM5;B0FT7R9ZQ9;B0G5NZBW6W;B0GFQ1JRSK;B0GKT5CHYL
overflow_flow_splash,流量/注水速度/溢流/飞溅,406,329,15,62,10,B008A4AG2U;B0742KFY9R;B0CXT5KL5Z;B0D3X39378;B0DTQ8H23D;B0FL24SLM5;B0FT7R9ZQ9;B0G5NZBW6W;B0GFQ1JRSK;B0GKT5CHYL
heavy_metals_tds_overclaim,硬水/TDS/重金属等过度宣称风险,345,307,7,31,10,B008A4AG2U;B0742KFY9R;B0CXT5KL5Z;B0D3X39378;B0DTQ8H23D;B0FL24SLM5;B0FT7R9ZQ9;B0G5NZBW6W;B0GFQ1JRSK;B0GKT5CHYL
leak_stability,漏水/脱落/稳定性,208,131,11,66,10,B008A4AG2U;B0742KFY9R;B0CXT5KL5Z;B0D3X39378;B0DTQ8H23D;B0FL24SLM5;B0FT7R9ZQ9;B0G5NZBW6W;B0GFQ1JRSK;B0GKT5CHYL
refill_lifespan,滤芯更换/寿命/复购,184,154,7,23,10,B008A4AG2U;B0742KFY9R;B0CXT5KL5Z;B0D3X39378;B0DTQ8H23D;B0FL24SLM5;B0FT7R9ZQ9;B0G5NZBW6W;B0GFQ1JRSK;B0GKT5CHYL
effectiveness_doubt,效果质疑/无明显变化,139,12,8,119,8,B008A4AG2U;B0742KFY9R;B0CXT5KL5Z;B0D3X39378;B0DTQ8H23D;B0FL24SLM5;B0G5NZBW6W;B0GFQ1JRSK
water_quality_testing,试纸/水质测试,89,45,3,41,10,B008A4AG2U;B0742KFY9R;B0CXT5KL5Z;B0D3X39378;B0DTQ8H23D;B0FL24SLM5;B0FT7R9ZQ9;B0G5NZBW6W;B0GFQ1JRSK;B0GKT5CHYL
material_shedding_contamination,颗粒/碳粉/残留污染,75,55,1,19,9,B0742KFY9R;B0CXT5KL5Z;B0D3X39378;B0DTQ8H23D;B0FL24SLM5;B0FT7R9ZQ9;B0G5NZBW6W;B0GFQ1JRSK;B0GKT5CHYL
mold_hygiene_storage,霉菌/卫生/存放,73,17,7,49,9,B008A4AG2U;B0742KFY9R;B0CXT5KL5Z;B0D3X39378;B0DTQ8H23D;B0FL24SLM5;B0FT7R9ZQ9;B0G5NZBW6W;B0GKT5CHYL
