site_code,week_start,search_term,department,search_frequency_rank,clicked_asin_1,click_share_1,conversion_share_1,is_own_asin_1,clicked_asin_2,click_share_2,conversion_share_2,is_own_asin_2,clicked_asin_3,click_share_3,conversion_share_3,is_own_asin_3
amz_ca,2026-03-22,bath filter,Amazon.ca,42461,B0FKH16TZR,0.0714,0.0000,False,,,,,,,,
amz_ca,2026-03-22,bath filter for tub faucet,Amazon.ca,89108,B0FKH16TZR,0.1071,0.0000,False,,,,,,,,
amz_ca,2026-03-22,bath water filter,Amazon.ca,107132,B0FKH16TZR,0.0851,0.2222,False,,,,,,,,
amz_ca,2026-03-22,tubo bath filter,Amazon.ca,153805,B0FKH16TZR,0.1212,0.0000,False,,,,,,,,
amz_ca,2026-03-22,bathtub filter,Amazon.ca,187899,B0FKH16TZR,0.1852,0.0000,False,,,,,,,,
amz_ca,2026-03-22,bath tub filter,Amazon.ca,187899,B0FKH16TZR,0.0741,0.0000,False,,,,,,,,
amz_ca,2026-03-15,bathtub water filter,Amazon.ca,143476,B0FKH16TZR,0.1143,0.0000,False,,,,,,,,
amz_ca,2026-03-15,bathtub filter,Amazon.ca,201002,B0FKH16TZR,0.1600,0.3333,False,,,,,,,,
amz_ca,2026-03-08,bath filter for tub faucet,Amazon.ca,99159,B0FKH16TZR,0.0408,0.0000,False,,,,,,,,
amz_ca,2026-02-22,bathtub water filter,Amazon.ca,182033,B0FKH16TZR,0.0769,0.1667,False,,,,,,,,
amz_ca,2026-02-15,santevia bath filter,Amazon.ca,125319,B088KC1DXY,0.0270,0.0000,False,,,,,,,,
amz_ca,2026-02-01,bath water filter,Amazon.ca,101228,B01MUBU0YC,0.0851,0.0000,False,,,,,,,,
amz_ca,2026-02-01,canopy baby bath tub filter,Amazon.ca,177511,B0DCM64CVG,0.1852,0.0000,False,,,,,,,,
amz_ca,2026-01-25,bath tub filter,Amazon.ca,161826,B0FKH16TZR,0.1333,0.0000,False,,,,,,,,
amz_ca,2026-01-18,bath filter,Amazon.ca,51006,B0FKH16TZR,0.1196,0.0000,False,,,,,,,,
amz_ca,2026-01-18,bath water filter,Amazon.ca,89154,B0FKH16TZR,0.1455,0.0000,False,,,,,,,,
amz_ca,2026-01-18,bath filter for tub faucet,Amazon.ca,107166,B0FKH16TZR,0.2391,0.0000,False,,,,,,,,
amz_ca,2026-01-18,bathtub water filter,Amazon.ca,109651,B0FKH16TZR,0.2222,0.3333,False,,,,,,,,
amz_ca,2026-01-18,bathtub filter,Amazon.ca,137670,B0FKH16TZR,0.3333,0.0000,False,,,,,,,,
amz_ca,2026-01-11,bath filter,Amazon.ca,63815,B0FKH16TZR,0.1299,0.0909,False,,,,,,,,
amz_ca,2026-01-11,bath water filter,Amazon.ca,120692,B0FKH16TZR,0.1905,0.0000,False,,,,,,,,
amz_ca,2026-01-11,bathtub water filter,Amazon.ca,145348,B01MUBU0YC,0.0857,0.0000,False,,,,,,,,
amz_ca,2026-01-04,bath filter,Amazon.ca,58225,B0FKH16TZR,0.0795,0.0000,False,,,,,,,,
amz_ca,2026-01-04,bath water filter,Amazon.ca,102136,B0FKH16TZR,0.1538,0.0000,False,,,,,,,,
amz_ca,2026-01-04,bath filter for tub faucet,Amazon.ca,121539,B0FKH16TZR,0.1364,0.2222,False,,,,,,,,
amz_ca,2025-12-28,bath filter,Amazon.ca,53803,B0FKH16TZR,0.0882,0.1923,False,,,,,,,,
amz_ca,2025-12-28,bath filter for tub faucet,Amazon.ca,95768,B0FKH16TZR,0.1356,0.0000,False,,,,,,,,
amz_ca,2025-12-28,bath water filter,Amazon.ca,105001,B0FKH16TZR,0.1111,0.0000,False,,,,,,,,
