site_code,week_start,search_term,search_frequency_rank,clicked_asin_1,click_share_1,conversion_share_1,clicked_asin_2,click_share_2,conversion_share_2,clicked_asin_3,click_share_3,conversion_share_3
amz_ca,2026-03-22,shower filter,564,B088KC1DXY,0.2219,0.1613,B01MUBU0YC,0.1259,0.0495,,,
amz_ca,2026-03-22,shower head filter,4272,B0CL4SVJQ3,0.2202,0.1217,B088KC1DXY,0.1690,0.1043,B01MUBU0YC,0.0896,0.0435
amz_ca,2026-03-22,shower filter for hair loss,6300,B088KC1DXY,0.2134,0.1765,B01MUBU0YC,0.1515,0.1059,,,
amz_ca,2026-03-22,hard water shower filter,16242,B088KC1DXY,0.2302,0.2258,B0CL4SVJQ3,0.1358,0.0968,B01MUBU0YC,0.1132,0.0645
amz_ca,2026-03-22,shower head filter for hard water,21048,B0CL4SVJQ3,0.2133,0.1667,B088KC1DXY,0.1469,0.0667,B01MUBU0YC,0.0806,0.0333
amz_ca,2026-03-22,shower water filter,26788,B01MUBU0YC,0.1754,0.0909,B088KC1DXY,0.1345,0.0606,,,
amz_ca,2026-03-22,aquabliss shower filter,32154,B01MUBU0YC,0.4759,0.4400,,,,,,
amz_ca,2026-03-22,shower filter hard water,32842,B088KC1DXY,0.2183,0.0909,B01MUBU0YC,0.1479,0.0455,B0CL4SVJQ3,0.0986,0.0000
amz_ca,2026-03-22,shower filter head,44170,B0CL4SVJQ3,0.2130,0.0714,B088KC1DXY,0.1111,0.0000,B01MUBU0YC,0.0741,0.0714
amz_ca,2026-03-22,showerhead filter,69239,B01MUBU0YC,0.1831,0.2000,B0CL4SVJQ3,0.1831,0.0000,B088KC1DXY,0.1127,0.0667
amz_ca,2026-03-22,shower filter for hard water,76152,B088KC1DXY,0.2308,0.2222,B01MUBU0YC,0.1231,0.0000,B0D8RGF49F,0.1077,0.1111
amz_ca,2026-03-22,sprite shower filter,81544,B088KC1DXY,0.1148,0.0000,,,,,,
amz_ca,2026-03-22,aqua bliss shower filter,120335,B01MUBU0YC,0.5952,0.3333,,,,,,
amz_ca,2026-03-22,chlorine removal shower filter,140895,B088KC1DXY,0.1111,0.2000,,,,,,
amz_ca,2026-03-22,chlorine shower filter,153805,B088KC1DXY,0.1818,0.0000,B01MUBU0YC,0.1515,0.0000,,,
amz_ca,2026-03-22,shower filters,158724,B088KC1DXY,0.2500,0.0000,B0D8RGF49F,0.2188,0.1667,B01MUBU0YC,0.1563,0.0000
amz_ca,2026-03-22,hard water shower head,169426,B0CL4SVJQ3,0.2333,0.0000,B0D1P1XXKD,0.2000,0.3333,,,
amz_ca,2026-03-22,shower filter for hair,181400,B01MUBU0YC,0.1786,0.0000,B088KC1DXY,0.1071,0.0000,,,
amz_ca,2026-03-22,shower head filter replacement,187899,B088KC1DXY,0.0741,0.0000,,,,,,
amz_ca,2026-03-22,showerhead filter for hard water,187899,B088KC1DXY,0.1481,0.1667,B01MUBU0YC,0.1481,0.0000,,,
amz_ca,2026-03-15,shower filter,734,B088KC1DXY,0.2167,0.1458,B01MUBU0YC,0.0890,0.0307,,,
amz_ca,2026-03-15,shower head filter,3994,B0CL4SVJQ3,0.2420,0.1282,B088KC1DXY,0.1465,0.1111,B01MUBU0YC,0.0662,0.0427
amz_ca,2026-03-15,shower filter for hair loss,9754,B088KC1DXY,0.2387,0.1194,B01MUBU0YC,0.1181,0.0448,,,
amz_ca,2026-03-15,hard water shower filter,15512,B088KC1DXY,0.2639,0.1333,B0CL4SVJQ3,0.1673,0.0333,,,
amz_ca,2026-03-15,shower head filter for hard water,18845,B0CL4SVJQ3,0.2335,0.1944,B088KC1DXY,0.1630,0.1667,,,
