week_start,search_term,search_frequency_rank,clicked_asin_1,click_share_1,conversion_share_1
2026-01-25,baby bath filter,436480,B0GFQ1JRSK,0.1523,0.0000
2026-02-01,baby bath filter,487034,B0GFQ1JRSK,0.1397,0.0345
2026-02-08,baby bath filter,445938,B0GFQ1JRSK,0.1357,0.0000
2026-02-22,baby bath filter,426092,B0GFQ1JRSK,0.1063,0.0588
2026-03-01,baby bath filter,459433,B0GFQ1JRSK,0.1409,0.0000
2026-03-08,baby bath filter,445622,B0GFQ1JRSK,0.1234,0.0000
2026-03-15,baby bath filter,452837,B0GFQ1JRSK,0.1908,0.0000
2026-03-22,baby bath filter,598096,B0GFQ1JRSK,0.1391,0.0400
2026-02-01,bath filter,87125,B0GFQ1JRSK,0.1028,0.0270
2026-02-22,bath filter,99070,B0GFQ1JRSK,0.0924,0.0070
2026-03-01,bath filter,102009,B0GFQ1JRSK,0.0882,0.0152
2026-03-08,bath filter,104169,B0GFQ1JRSK,0.0929,0.0153
2026-03-15,bath filter,97388,B0GFQ1JRSK,0.1259,0.0219
2026-02-01,bath tub filter,99814,B0GFQ1JRSK,0.0895,0.0079
2026-02-08,bath tub filter,114589,B0GFQ1JRSK,0.1023,0.0088
2026-02-15,bath tub filter,93335,B0GFQ1JRSK,0.1664,0.0000
2026-02-22,bath tub filter,95648,B0GFQ1JRSK,0.1893,0.0000
2026-03-01,bath tub filter,93861,B0GFQ1JRSK,0.2259,0.0084
2026-03-08,bath tub filter,118901,B0GFQ1JRSK,0.2073,0.0000
2026-03-15,bath tub filter,113800,B0GFQ1JRSK,0.2322,0.0000
2026-03-22,bath tub filter,110413,B0GFQ1JRSK,0.2119,0.0000
2026-02-01,bathtub filter,86125,B0GFQ1JRSK,0.1003,0.0190
2026-02-08,bathtub filter,98542,B0GFQ1JRSK,0.1037,0.0000
2026-02-15,bathtub filter,89549,B0GFQ1JRSK,0.1368,0.0000
2026-02-22,bathtub filter,94320,B0GFQ1JRSK,0.1456,0.0145
2026-03-01,bathtub filter,87438,B0GFQ1JRSK,0.1940,0.0075
2026-03-08,bathtub filter,109704,B0GFQ1JRSK,0.1751,0.0252
2026-03-15,bathtub filter,95312,B0GFQ1JRSK,0.2115,0.0164
2026-03-22,bathtub filter,102223,B0GFQ1JRSK,0.1843,0.0446
2026-02-01,bathtub water filter,90204,B0GFQ1JRSK,0.0887,0.0065
2026-03-01,bathtub water filter,119884,B0GFQ1JRSK,0.1064,0.0083
2026-03-08,bathtub water filter,149478,B0GFQ1JRSK,0.0926,0.0189
2026-03-15,bathtub water filter,135920,B0GFQ1JRSK,0.1376,0.0084
2026-03-22,bathtub water filter,125285,B0GFQ1JRSK,0.1415,0.0306
2026-03-22,bath water filter,138965,B0GFQ1JRSK,0.0823,0.0096
2025-07-06,canopy bathtub filter,487651,B01MUBU0YC,0.1319,0.0667
2026-01-18,canopy bathtub filter,83972,B0GFQ1JRSK,0.0292,0.0000
2026-01-25,canopy bathtub filter,58521,B0GFQ1JRSK,0.7675,0.5769
2026-02-01,canopy bathtub filter,71225,B0GFQ1JRSK,0.6247,0.2653
2026-02-08,canopy bathtub filter,66217,B0GFQ1JRSK,0.6359,0.1522
2026-02-15,canopy bathtub filter,69885,B0GFQ1JRSK,0.0416,0.0164
2026-02-22,canopy bathtub filter,79395,B0GFQ1JRSK,0.0977,0.0172
2026-03-01,canopy bathtub filter,62451,B0GFQ1JRSK,0.0788,0.0976
2026-03-08,canopy bathtub filter,72349,B0GFQ1JRSK,0.2321,0.1017
2026-03-15,canopy bathtub filter,65324,B0GFQ1JRSK,0.2533,0.1486
2026-03-22,canopy bathtub filter,65874,B0GFQ1JRSK,0.1064,0.1026
2026-03-01,tub filter,304187,B0GFQ1JRSK,0.1031,0.0208
2026-03-08,tub filter,353790,B0GFQ1JRSK,0.1813,0.0000
2026-03-15,tub filter,338301,B0GFQ1JRSK,0.1683,0.0200
2026-03-22,tub filter,370405,B0GFQ1JRSK,0.1141,0.0000
